Model,MSE,MAE,R2
LinearRegression,10549721686,82657.94606,0.914645451
RobustRegression,61664910393,199465.5596,0.501088199
RidgeRegression,10549745187,82659.67244,0.91464526
LassoRegression,10549717660,82657.94662,0.914645483
ElasticNet,15081376467,99126.80843,0.877981227
PolynomialRegression,10604968582,82894.44762,0.914198465
SGDRegressor,9.51E+34,2.49E+17,-7.70E+23
ANN,61497536881,199369.7157,0.502442367
RandomForest,15153145713,98839.85671,0.877400564
SVM,1.23547E+11,282947.6876,0.000422786
LGBM,13097708115,92133.98883,0.894030477
XGBoost,16138680642,101565.1921,0.869426905
KNN,60395811313,198086.2368,0.511356089
